schlcode,c_size,c_boys,c_girls,c_numcl,c_pik,c_status,c_leom,c_tip,c_num4rd,c_type,flgrm4,mrkgrm4,ngrm4,flmth4,mrkmth4,nmth4,towncode,townname,popcode,tip_a,grade,classid,classize,_type_,_freq_,cohsize,mathsize,avgmath,passmath,verbsize,avgverb,passverb,studchk,misskov2,missagg,nmiss_k,nmiss_a,classct,math_n,flmath_n,nmath_n,verb_n,flverb_n,nverb_n,impute,nverb_m,nmath_m,tip_s,townid,tipuach
11005,35,12,23,9,1,2,1,5,1,1,17,66,35,17.139999389648438,65,35,26104,™Ž™ š‰<81>,11,24,4,1,35,0,1,35,35,64.94000244140625,17.100000381469727,35,65.7699966430664,17.100000381469727,1,0,0,0,0,1,64.94000244140625,17.100000381469727,35,65.7699966430664,17.100000381469727,35,0,NA,NA,24,26104,24
11006,54,23,31,12,2,2,1,7,2,2,31,61,49,54.16999816894531,57,48,26104,™Ž™ š‰<81>,12,38,4,1,27,0,2,54,25,56.79999923706055,60,25,59.31999969482422,40,1,0,0,0,0,2,56.85270690917969,54.15416717529297,48,61.406532287597656,30.595918655395508,49,0,NA,NA,38,26104,38
11006,54,23,31,12,2,2,1,7,2,2,31,61,49,54.16999816894531,57,48,26104,™Ž™ š‰<81>,12,38,4,2,27,0,2,54,23,56.90999984741211,47.79999923706055,24,63.58000183105469,20.799999237060547,1,0,0,0,0,2,56.85270690917969,54.15416717529297,48,61.406532287597656,30.595918655395508,49,0,NA,NA,38,26104,38
11009,38,15,23,6,1,2,1,1,1,1,13,78,38,21.6200008392334,77,37,4622,˜‡™ Œˆ,11,6,4,1,38,0,1,38,37,76.69999694824219,21.600000381469727,38,78.37000274658203,13.199999809265137,1,0,0,0,0,1,76.69999694824219,21.600000381469727,37,78.37000274658203,13.199999809265137,38,0,NA,NA,6,4622,6
11010,73,40,33,15,1,1,1,,2,2,20,74,70,51.38999938964844,64,72,30007,<8d>‰Œ™…˜‰,11,3,4,1,37,0,2,73,35,61.400001525878906,65.69999694824219,35,76.5999984741211,20,1,0,0,0,0,2,64.09791564941406,51.36249923706055,72,74.48500061035156,20,70,0,NA,NA,3,30007,3
11010,73,40,33,15,1,1,1,,2,2,20,74,70,51.38999938964844,64,72,30007,<8d>‰Œ™…˜‰,11,3,4,2,36,0,2,73,37,66.6500015258789,37.79999923706055,35,72.37000274658203,20,1,0,0,0,0,2,64.09791564941406,51.36249923706055,72,74.48500061035156,20,70,0,NA,NA,3,30007,3
11013,65,31,34,17,1,1,1,2,2,2,38,64,61,40.97999954223633,65,61,30007,<8d>‰Œ™…˜‰,11,8,4,2,31,0,2,65,28,58.709999084472656,64.30000305175781,28,59.5,42.900001525878906,1,0,0,1,0,2,58.709999084472656,64.30000305175781,28,59.5,42.900001525878906,28,0,NA,NA,8,30007,8
11013,65,31,34,17,1,1,1,2,2,2,38,64,61,40.97999954223633,65,61,30007,<8d>‰Œ™…˜‰,11,8,4,1,34,0,2,65,33,70.33696746826172,21.19333267211914,33,67.81818389892578,33.84242248535156,NA,1,0,1,0,2,58.709999084472656,64.30000305175781,28,59.5,42.900001525878906,28,1,33,33,8,30007,8
11015,89,35,54,17,1,1,1,1,3,3,5,84,85,8.239999771118164,80,85,30007,<8d>‰Œ™…˜‰,11,6,4,1,30,0,3,89,27,81.589996337890625,7.400000095367432,27,84.06999969482422,0,1,0,0,1,0,3,80.52684020996094,7.03157901763916,57,82.98052978515625,3.526315689086914,57,0,NA,NA,6,30007,6
11015,89,35,54,17,1,1,1,1,3,3,5,84,85,8.239999771118164,80,85,30007,<8d>‰Œ™…˜‰,11,6,4,2,30,0,3,89,30,79.56999969482422,6.699999809265137,30,82,6.699999809265137,1,0,0,1,0,3,80.52684020996094,7.03157901763916,57,82.98052978515625,3.526315689086914,57,0,NA,NA,6,30007,6
11015,89,35,54,17,1,1,1,1,3,3,5,84,85,8.239999771118164,80,85,30007,<8d>‰Œ™…˜‰,11,6,4,3,29,0,3,89,28,78.92749786376953,10.699999809265137,28,86.07535552978516,8,NA,1,0,1,0,3,80.52684020996094,7.03157901763916,57,82.98052978515625,3.526315689086914,57,1,28,28,6,30007,6
11017,85,43,42,14,1,1,1,2,3,3,27,68,75,30.260000228881836,66,76,30007,<8d>‰Œ™…˜‰,11,9,4,1,29,0,3,85,27,72.88999938964844,11.100000381469727,27,74.8499984741211,22.200000762939453,1,0,0,0,0,3,66.33024597167969,31.704877853393555,82,64.12110900878906,30.854320526123047,81,0,NA,NA,9,30007,9
11017,85,43,42,14,1,1,1,2,3,3,27,68,75,30.260000228881836,66,76,30007,<8d>‰Œ™…˜‰,11,9,4,2,28,0,3,85,28,67.43000030517578,42.900001525878906,28,62.959999084472656,32.099998474121094,1,0,0,0,0,3,66.33024597167969,31.704877853393555,82,64.12110900878906,30.854320526123047,81,0,NA,NA,9,30007,9
11017,85,43,42,14,1,1,1,2,3,3,27,68,75,30.260000228881836,66,76,30007,<8d>‰Œ™…˜‰,11,9,4,3,28,0,3,85,27,58.630001068115234,40.70000076293945,26,54.22999954223633,38.5,1,0,0,0,0,3,66.33024597167969,31.704877853393555,82,64.12110900878906,30.854320526123047,81,0,NA,NA,9,30007,9
11020,74,32,42,14,1,1,1,1,2,2,17,75,69,18.309999465942383,76,71,30007,<8d>‰Œ™…˜‰,11,5,4,1,38,0,2,74,36,76.38999938964844,19.399999618530273,36,75.80999755859375,13.899999618530273,1,0,0,0,0,2,76.015350341796875,18.266197204589844,71,74.85826110839844,17.39130401611328,69,0,NA,NA,5,30007,5
11020,74,32,42,14,1,1,1,1,2,2,17,75,69,18.309999465942383,76,71,30007,<8d>‰Œ™…˜‰,11,5,4,2,36,0,2,74,35,75.62999725341797,17.100000381469727,33,73.81999969482422,21.200000762939453,1,0,0,0,0,2,76.015350341796875,18.266197204589844,71,74.85826110839844,17.39130401611328,69,0,NA,NA,5,30007,5
11021,66,31,35,12,1,1,1,2,2,2,17,75,65,26.149999618530273,71,65,30007,<8d>‰Œ™…˜‰,11,11,4,2,34,0,2,65,34,71.29000091552734,17.600000381469727,34,75.3499984741211,14.699999809265137,1,0,0,1,0,2,71.29000091552734,17.600000381469727,34,75.3499984741211,14.699999809265137,34,0,NA,NA,11,30007,11
11021,66,31,35,12,1,1,1,2,2,2,17,75,65,26.149999618530273,71,65,30007,<8d>‰Œ™…˜‰,11,11,4,1,31,0,2,65,31,70.68193817138672,35.52742004394531,31,74.61612701416016,19.522581100463867,NA,1,0,1,0,2,71.29000091552734,17.600000381469727,34,75.3499984741211,14.699999809265137,34,1,31,31,11,30007,11
11027,96,48,48,18,1,1,1,1,3,3,10,77,93,22.579999923706055,71,93,30007,<8d>‰Œ™…˜‰,11,5,4,1,33,0,3,96,31,68.12999725341797,16.100000381469727,31,76.61000061035156,6.5,1,0,0,0,0,3,71.140106201171875,22.579570770263672,93,76.61322784423828,9.721505165100098,93,0,NA,NA,5,30007,5
11027,96,48,48,18,1,1,1,1,3,3,10,77,93,22.579999923706055,71,93,30007,<8d>‰Œ™…˜‰,11,5,4,2,32,0,3,96,30,71.19999694824219,30,30,75.5,16.700000762939453,1,0,0,0,0,3,71.140106201171875,22.579570770263672,93,76.61322784423828,9.721505165100098,93,0,NA,NA,5,30007,5
11027,96,48,48,18,1,1,1,1,3,3,10,77,93,22.579999923706055,71,93,30007,<8d>‰Œ™…˜‰,11,5,4,3,31,0,3,96,32,74,21.899999618530273,32,77.660003662109375,6.300000190734863,1,0,0,0,0,3,71.140106201171875,22.579570770263672,93,76.61322784423828,9.721505165100098,93,0,NA,NA,5,30007,5
11029,87,39,48,14,1,1,1,2,3,3,27,65,82,47.560001373291016,60,82,30007,<8d>‰Œ™…˜‰,11,11,4,1,31,0,3,87,30,61.56999969482422,50,30,66.2300033569336,13.300000190734863,1,0,0,0,0,3,59.69670867919922,47.57439041137695,82,64.753662109375,26.801219940185547,82,0,NA,NA,11,30007,11
11029,87,39,48,14,1,1,1,2,3,3,27,65,82,47.560001373291016,60,82,30007,<8d>‰Œ™…˜‰,11,11,4,2,26,0,3,87,27,55.88999938964844,59.29999923706055,27,61.70000076293945,48.099998474121094,1,0,0,0,0,3,59.69670867919922,47.57439041137695,82,64.753662109375,26.801219940185547,82,0,NA,NA,11,30007,11
11029,87,39,48,14,1,1,1,2,3,3,27,65,82,47.560001373291016,60,82,30007,<8d>‰Œ™…˜‰,11,11,4,3,30,0,3,87,25,61.560001373291016,32,25,66.279998779296875,20,1,0,0,0,0,3,59.69670867919922,47.57439041137695,82,64.753662109375,26.801219940185547,82,0,NA,NA,11,30007,11
