state,distnum,distid,party,yearel,origvote,totvote,highestvote,sechighestvote,officeexp
1,1,1,100,1946,82231,175237,93006,82231,0
1,1,1,200,1946,93006,175237,93006,82231,0
1,1,1,100,1948,127802,233700,127802,103294,0
1,1,1,200,1948,103294,233700,127802,103294,1
1,1,1,100,1950,134258,231096,134258,96251,1
1,1,1,200,1950,96251,231096,134258,96251,0
1,1,1,100,1952,160080,296620,160080,136540,0
1,1,1,200,1952,136540,296620,160080,136540,0
1,1,1,100,1954,148935,261461,148935,112526,1
1,1,1,200,1954,112526,261461,148935,112526,0
1,1,1,100,1956,139147,301799,161360,139147,0
1,1,1,200,1956,161360,301799,161360,139147,0
1,1,1,100,1958,146115,268885,146115,122770,0
1,1,1,200,1958,122770,268885,146115,122770,1
1,1,1,100,1960,193330,330716,193330,137386,1
1,1,1,200,1960,137386,330716,193330,137386,0
1,1,1,100,1962,162844,283285,162844,118767,2
1,1,1,200,1962,118767,283285,162844,118767,0
1,1,1,100,1964,141310,201964,141310,60654,3
1,1,1,200,1964,60654,201964,141310,60654,0
1,1,1,100,1966,100447,173099,100447,71353,4
1,1,1,200,1966,71353,173099,100447,71353,0
1,1,1,100,1968,124966,200153,124966,74615,5
1,1,1,200,1968,74615,200153,124966,74615,0
1,1,1,100,1970,88374,181357,88374,87209,0
1,1,1,200,1970,87209,181357,88374,87209,0
1,1,1,100,1972,130701,229667,130701,96188,1
1,1,1,200,1972,96188,229667,130701,96188,0
1,1,1,100,1974,117038,186757,117038,67080,2
1,1,1,200,1974,67080,186757,117038,67080,0
1,1,1,100,1976,128479,225021,128479,94106,3
1,1,1,200,1976,94106,225021,128479,94106,0
1,1,1,100,1978,102749,172542,102749,67828,4
1,1,1,200,1978,67828,172542,102749,67828,0
1,1,1,100,1980,137849,218665,137849,80816,5
1,1,1,200,1980,80816,218665,137849,80816,0
1,1,1,100,1982,126798,186110,126798,58075,0
1,1,1,200,1982,58075,186110,126798,58075,0
1,1,1,100,1984,147748,239362,147748,90823,1
1,1,1,200,1984,90823,239362,147748,90823,0
1,1,1,100,1986,128930,173787,128930,44122,2
1,1,1,200,1986,44122,173787,128930,44122,0
1,1,1,100,1988,176463,228448,176463,51985,3
1,1,1,200,1988,51985,228448,176463,51985,0
1,1,1,100,1990,126566,177256,126566,50690,4
1,1,1,200,1990,50690,177256,126566,50690,0
1,1,1,100,1992,112838,245425,112838,75113,5
1,1,1,200,1992,75113,245425,112838,75113,0
1,1,1,100,1994,88946,188907,88946,46865,6
1,1,1,200,1994,46865,188907,88946,46865,0
1,1,1,100,1996,145169,215136,145169,53666,7
1,1,1,200,1996,53666,215136,145169,53666,0
1,1,1,100,1998,97681,168264,97681,69668,0
1,1,1,200,1998,69668,168264,97681,69668,0
1,2,2,200,1946,59828,108204,59828,NA,0
1,2,2,200,1948,64916,134255,64916,NA,1
1,2,2,200,1950,68747,135270,68747,NA,0
1,2,2,100,1952,72868,163695,90827,72868,0
1,2,2,200,1952,90827,163695,90827,72868,1
1,2,2,100,1954,70853,143686,72833,70853,0
1,2,2,200,1954,72833,143686,72833,70853,2
