state,distnum,distid,party,yearel,origvote,totvote,highestvote,sechighestvote,officeexp,share_t,margin_t,margin_tm1,margin_tm2,incumbent
1,1,1,100,1946,82231,175237,93006,82231,0,0.46925592197994714,-0.030744078020052856,NA,NA,NA
1,1,1,100,1948,127802,233700,127802,103294,0,0.5468635002139495,0.0530255824419289,-0.030744078020052856,NA,0
1,1,1,100,1950,134258,231096,134258,96251,1,0.5809620244400595,0.08244146649371609,0.0530255824419289,-0.030744078020052856,1
1,1,1,100,1952,160080,296620,160080,136540,0,0.5396803991639134,0.039680399163913416,0.08244146649371609,0.0530255824419289,1
1,1,1,100,1954,148935,261461,148935,112526,1,0.5696260627780051,0.0696260627780051,0.039680399163913416,0.08244146649371609,1
1,1,1,100,1956,139147,301799,161360,139147,0,0.4610585190805801,-0.03695920560918714,0.0696260627780051,0.039680399163913416,1
1,1,1,100,1958,146115,268885,146115,122770,0,0.5434107518083939,0.04341075180839393,-0.03695920560918714,0.0696260627780051,0
1,1,1,100,1960,193330,330716,193330,137386,1,0.5845801231267915,0.08458012312679153,0.04341075180839393,-0.03695920560918714,1
1,1,1,100,1962,162844,283285,162844,118767,2,0.574841590624283,0.07825866177102458,0.08458012312679153,0.04341075180839393,1
1,1,1,100,1964,141310,201964,141310,60654,3,0.6996791507397357,0.19967915073973574,0.07825866177102458,0.08458012312679153,1
1,1,1,100,1966,100447,173099,100447,71353,4,0.5802864256870346,0.08467403958090802,0.19967915073973574,0.07825866177102458,1
1,1,1,100,1968,124966,200153,124966,74615,5,0.624352370436616,0.12614176700186897,0.08467403958090802,0.19967915073973574,1
1,1,1,100,1970,88374,181357,88374,87209,0,0.4872930187420392,0.0033175193498231614,0.12614176700186897,0.08467403958090802,1
1,1,1,100,1972,130701,229667,130701,96188,1,0.5690891595222648,0.07605701466355796,0.0033175193498231614,0.12614176700186897,1
1,1,1,100,1974,117038,186757,117038,67080,2,0.6266860144465803,0.13566843002856865,0.07605701466355796,0.0033175193498231614,1
1,1,1,100,1976,128479,225021,128479,94106,3,0.5709644877589203,0.07721319945189475,0.13566843002856865,0.07605701466355796,1
1,1,1,100,1978,102749,172542,102749,67828,4,0.5955013851699876,0.10236139690579626,0.07721319945189475,0.13566843002856865,1
1,1,1,100,1980,137849,218665,137849,80816,5,0.6304118171632406,0.13041181716324057,0.10236139690579626,0.07721319945189475,1
1,1,1,100,1982,126798,186110,126798,58075,0,0.6813067540701736,0.18586543194517313,0.13041181716324057,0.10236139690579626,1
1,1,1,100,1984,147748,239362,147748,90823,1,0.617257542968391,0.1193041065343231,0.18586543194517313,0.13041181716324057,1
1,1,1,100,1986,128930,173787,128930,44122,2,0.7418851812851364,0.24503617409795897,0.1193041065343231,0.18586543194517313,1
1,1,1,100,1988,176463,228448,176463,51985,3,0.7724427440818041,0.27244274408180413,0.24503617409795897,0.1193041065343231,1
1,1,1,100,1990,126566,177256,126566,50690,4,0.7140294263663853,0.21402942636638533,0.27244274408180413,0.24503617409795897,1
1,1,1,100,1992,112838,245425,112838,75113,5,0.45976571253947235,0.10035860410426123,0.21402942636638533,0.27244274408180413,1
1,1,1,100,1994,88946,188907,88946,46865,6,0.4708454424663988,0.15492485881114193,0.10035860410426123,0.21402942636638533,1
1,1,1,100,1996,145169,215136,145169,53666,7,0.6747778149635579,0.23009781980033694,0.15492485881114193,0.10035860410426123,1
1,1,1,100,1998,97681,168264,97681,69668,0,0.5805222745209908,0.0836963471547485,0.23009781980033694,0.15492485881114193,1
1,2,2,100,1952,72868,163695,90827,72868,0,0.4451449341763646,-0.05485506582363542,NA,NA,NA
1,2,2,100,1954,70853,143686,72833,70853,0,0.49310997591971384,-0.006890024080286161,-0.05485506582363542,NA,0
1,2,2,100,1956,68847,168121,99274,68847,0,0.4095086277145627,-0.0904913722854373,-0.006890024080286161,-0.05485506582363542,0
1,2,2,100,1958,79672,149509,79672,69837,0,0.532890996528637,0.03289099652863703,-0.0904913722854373,-0.006890024080286161,0
1,2,2,100,1960,93515,187486,93971,93515,0,0.4987839091985535,-0.0012160908014465233,0.03289099652863703,-0.0904913722854373,1
1,2,2,100,1962,83652,164662,83652,81010,0,0.5080224945646233,0.00802249456462334,-0.0012160908014465233,0.03289099652863703,0
1,2,2,100,1964,119530,188933,119530,69403,0,0.6326581380701095,0.1326581380701095,0.00802249456462334,-0.0012160908014465233,1
1,2,2,100,1966,90298,160639,90298,69402,1,0.5621175430623946,0.06542266750156545,0.1326581380701095,0.00802249456462334,1
1,2,2,100,1968,106203,196478,106203,89098,1,0.5405338002219078,0.04379137843636238,0.06542266750156545,0.1326581380701095,1
1,2,2,100,1970,81492,174338,92846,81492,0,0.4674368181348874,-0.03256318186511259,0.04379137843636238,0.06542266750156545,1
1,2,2,100,1972,73400,215494,142094,73400,0,0.340612731676984,-0.15938726832301597,-0.03256318186511259,0.04379137843636238,0
1,2,2,100,1974,104436,176940,104436,69380,0,0.590233977619532,0.10084226998665258,-0.15938726832301597,-0.03256318186511259,0
1,2,2,100,1976,142684,219284,142684,74743,1,0.6506813082577845,0.15623864561439016,0.10084226998665258,-0.15938726832301597,1
1,2,2,100,1978,116624,166791,116624,50167,2,0.699222380104442,0.19922238010444204,0.15623864561439016,0.10084226998665258,1
1,2,2,100,1980,119176,223283,119176,104107,0,0.5337441721940318,0.03374417219403181,0.19922238010444204,0.15623864561439016,1
1,2,2,100,1982,95254,170803,95254,74294,1,0.5576834130548058,0.06181140444004063,0.03374417219403181,0.19922238010444204,1
1,2,2,100,1984,124110,228253,124110,103119,2,0.5437387460405778,0.04618908678029654,0.06181140444004063,0.03374417219403181,1
1,2,2,100,1986,109229,162098,109229,52869,3,0.6738454515169836,0.1738454515169836,0.04618908678029654,0.06181140444004063,1
1,2,2,100,1988,143326,225291,143326,81965,4,0.6361816495110768,0.1361816495110768,0.1738454515169836,0.04618908678029654,1
1,2,2,100,1990,105085,176007,105085,70922,5,0.5970501173248791,0.09705011732487911,0.1361816495110768,0.1738454515169836,1
1,2,2,100,1992,83197,242707,119416,83197,6,0.34278780587292496,-0.08937975352025784,0.09705011732487911,0.1361816495110768,1
1,2,2,100,1994,79188,186071,79188,79167,7,0.4255794831005369,6.630671592311455e-5,-0.08937975352025784,0.09705011732487911,0
1,2,2,100,1996,106544,223247,106544,100332,8,0.4772471746540827,0.01501382470658752,6.630671592311455e-5,-0.08937975352025784,1
1,2,2,100,1998,99567,163201,99567,57860,9,0.6100881734793292,0.1324645708804716,0.01501382470658752,6.630671592311455e-5,1
1,3,3,100,1946,53404,129812,76408,53404,0,0.411394940375312,-0.08860505962468801,NA,NA,NA
1,3,3,100,1948,84449,169983,84449,83310,0,0.49680850437984975,0.003394750803235591,-0.08860505962468801,NA,0
1,3,3,100,1950,89391,172173,89391,82304,0,0.5191929048108589,0.020638341244648917,0.003394750803235591,-0.08860505962468801,1
1,3,3,100,1952,99408,210426,111018,99408,1,0.47241310484445836,-0.027586895155541635,0.020638341244648917,0.003394750803235591,1
1,3,3,100,1954,85369,180346,94977,85369,0,0.4733623146618167,-0.02663768533818328,-0.027586895155541635,0.020638341244648917,0
1,3,3,100,1956,84568,211418,126850,84568,0,0.4000037839729824,-0.09999621602701758,-0.02663768533818328,-0.027586895155541635,0
1,3,3,100,1958,101028,179693,101028,78665,0,0.5622255736172249,0.062225573617224916,-0.09999621602701758,-0.02663768533818328,0
1,3,3,100,1960,124547,226818,124547,102271,1,0.5491054501847296,0.04910545018472956,0.062225573617224916,-0.09999621602701758,1
1,3,3,100,1962,104728,186943,104728,82215,2,0.5602135410258742,0.06021354102587417,0.04910545018472956,0.062225573617224916,1
1,3,3,100,1964,126353,197746,126353,71393,3,0.638966148493522,0.13896614849352196,0.06021354102587417,0.04910545018472956,1
1,3,3,100,1966,86029,161985,86029,67226,4,0.5310923850973855,0.06134546996835344,0.13896614849352196,0.06021354102587417,1
1,3,3,100,1968,102636,190072,102636,80696,5,0.5399848478471316,0.05983679881308224,0.06134546996835344,0.13896614849352196,1
1,3,3,100,1970,89042,163188,89042,69084,6,0.5456406108292277,0.06310790129390487,0.05983679881308224,0.06134546996835344,1
1,3,3,100,1972,121217,227530,121217,106313,7,0.5327517250472465,0.03275172504724655,0.06310790129390487,0.05983679881308224,1
1,3,3,100,1974,114316,175493,114316,55177,8,0.6513992011077365,0.1744585322107698,0.03275172504724655,0.06310790129390487,1
1,3,3,100,1976,121623,222623,121623,96714,9,0.5463182150990689,0.05704255348383458,0.1744585322107698,0.03275172504724655,1
1,3,3,100,1978,96830,166561,96830,66663,10,0.5813485749965478,0.09225777250402156,0.05704255348383458,0.1744585322107698,1
1,3,3,100,1980,103903,223638,117024,103903,0,0.4646035110312201,-0.02969532922639606,0.09225777250402156,0.05704255348383458,1
1,3,3,100,1982,90638,181449,90638,88951,0,0.49952328202415003,0.004696835552288836,-0.02969532922639606,0.09225777250402156,0
1,3,3,100,1984,129230,245795,129230,115939,1,0.5257633393681727,0.027105792331004297,0.004696835552288836,-0.02969532922639606,1
1,3,3,100,1986,114276,164082,114276,49806,2,0.6964566497239185,0.19645664972391852,0.027105792331004297,0.004696835552288836,1
1,3,3,100,1988,147394,221669,147394,74275,3,0.6649283391001899,0.1649283391001899,0.19645664972391852,0.027105792331004297,1
1,3,3,100,1990,90772,174212,90772,83440,0,0.5210433265217091,0.02104332652170915,0.1649283391001899,0.19645664972391852,1
1,3,3,100,1992,112022,247520,112022,84952,1,0.4525775694893342,0.06871465269527954,0.02104332652170915,0.1649283391001899,1
1,3,3,100,1994,111261,175355,111261,53110,2,0.6344900345014399,0.17688947563742996,0.06871465269527954,0.02104332652170915,1
1,3,3,100,1996,137108,211352,137108,59335,3,0.6487187251599228,0.19795309580896236,0.17688947563742996,0.06871465269527954,1
1,3,3,100,1998,109726,153851,109726,42090,4,0.7131965343091693,0.22275649470411552,0.19795309580896236,0.17688947563742996,1
1,4,4,100,1946,57913,163687,93513,57913,0,0.3538032953136168,-0.11754916592923276,NA,NA,NA
1,4,4,100,1948,92618,213461,117727,92618,0,0.4338872206164124,-0.05968527894649267,-0.11754916592923276,NA,0
1,4,4,100,1950,88682,210876,111939,88682,0,0.42054098142984503,-0.05796252635566568,-0.05968527894649267,-0.11754916592923276,0
1,4,4,100,1952,107881,274188,164689,107881,0,0.39345631464542574,-0.10420809333382253,-0.05796252635566568,-0.05968527894649267,0
1,4,4,100,1954,91184,220487,123890,91184,0,0.4135572618793852,-0.07603429517282423,-0.10420809333382253,-0.05796252635566568,0
