goodroadv,transport,pro3,tapwater,roadv,rm2c7d,rm2c7e,rm2c7g,animal_s,agrvisit,plant_s,agrext,irrigation,rm2c7c,pro5,pro4,rm2c7b,useschool,kgarten,v_prischool,broadcast,post,vpost,rm2c7a,rm2c7f,market,nonfarm,vmarket1,vmarket2,vmarket3,treatment,id_district,lnarea,lnpopden,city,reg8,rnongnghiep,rcongnghiep,rdichvu,year,tinh,post_treat
0,1,1,0,1,0,0.21636012196540833,0,1,0.04,1,0,0,0,1,0,0.043619535863399506,0,0,1,0,1,1,0,0,0,0,0,0,0,0,101d15,2.196112871170044,5.437256813049316,1,1,-0.17019402980804443,2.093684434890747,1.7618595361709595,2006,101,0
1,1,0,0,1,0.010949904099106789,0.16424855589866638,0,1,0.02,1,0,1,0.0212356336414814,0,0,0.0212356336414814,0,1,1,1,1,0,0.19162333011627197,0,0,1,0,0,0,0,101d15,2.6210389137268066,5.582265377044678,1,1,-0.17019402980804443,2.093684434890747,1.7618595361709595,2006,101,0
1,1,1,0,1,0,0,0,1,0.1,1,0,1,0.011847976595163345,1,0,0,1,1,1,1,1,1,0,0,1,1,0,1,0,0,101d15,2.624668598175049,5.466652870178223,1,1,-0.17019402980804443,2.093684434890747,1.7618595361709595,2006,101,0
1,0,0,0,1,0,0.03835826739668846,0,1,0,1,0,1,0.001921414164826274,0,0,0.006724949460476637,1,1,0,1,1,0,0.011507479473948479,0,0,1,0,0,0,0,101d15,3.0130808353424072,4.852874279022217,1,1,-0.17019402980804443,2.093684434890747,1.7618595361709595,2006,101,0
1,0,1,0,1,0.008595988154411316,0.11938872933387756,0,1,0.07,0,0,1,0.004467434715479612,0,0,0.0029391017742455006,1,0,1,1,1,1,0.1050620824098587,0.0014326648088172078,1,1,1,1,0,0,101d15,2.1479177474975586,5.498913764953613,1,1,-0.17019402980804443,2.093684434890747,1.7618595361709595,2006,101,0
1,1,1,0,1,0.008574490435421467,0.3572704493999481,1,1,0.06,1,0,1,0.04299190267920494,0,0,0.02086985483765602,0,1,0,1,1,0,0.4001429080963135,0.007145409006625414,1,1,0,0,0,0,101d15,2.1792869567871094,5.757730484008789,1,1,-0.17019402980804443,2.093684434890747,1.7618595361709595,2006,101,0
1,1,0,0,1,0,0,0.014071856625378132,1,0.03,1,0,0,0.0032038174103945494,0,0,0.0027266531251370907,0,1,1,1,1,0,0.03353293240070343,0,0,1,1,0,0,0,101d17,2.1377103328704834,5.976015567779541,1,1,-0.17019402980804443,2.093684434890747,1.7618595361709595,2006,101,0
1,1,0,0,1,0,0,0,1,0.02,1,0,1,9.415014064870775e-4,0,0,0.00941501371562481,0,1,1,1,1,1,0.0736091285943985,0,1,1,0,0,0,0,101d17,2.371177911758423,5.790768146514893,1,1,-0.17019402980804443,2.093684434890747,1.7618595361709595,2006,101,0
1,1,1,0,1,0,0,0,1,0.02,0,0,0,0,1,1,0.007633587811142206,0,1,0,1,1,0,0.037416305392980576,0,1,1,1,0,0,0,101d17,1.7578579187393188,6.081667423248291,1,1,-0.17019402980804443,2.093684434890747,1.7618595361709595,2006,101,0
1,1,1,0,1,0.0032407406251877546,0.026851851493120193,0.037962961941957474,1,0.03,1,0,1,0.0028239015955477953,0,1,0.0045182425528764725,0,1,1,1,1,1,0.09675925970077515,0.012037036940455437,1,1,1,1,0,0,101d17,1.6486586332321167,6.029204845428467,1,1,-0.17019402980804443,2.093684434890747,1.7618595361709595,2006,101,0
